Name,786O_shARNT_1 - linear total reads,786O_shARNT_2 - linear total reads,786O_shARNT_3 - linear total reads,786O_shBMAL1_1 - linear total reads,786O_shBMAL1_2 - linear total reads,786O_shBMAL1_3 - linear total reads,786O_shBMAL2_1 - linear total reads,786O_shBMAL2_2 - linear total reads,786O_shBMAL2_3 - linear total reads,786O_shCNT_1 - linear total reads,786O_shCNT_2 - linear total reads,786O_shCNT_3 - linear total reads
ADAMTSL1,255.9218029,269.8817526,220.0275458,88.80710696,88.85554001,79.6340146,291.1546893,243.3921944,273.0081624,352.968232,310.367707,344.0923219
LOC105369293,0,0,0,0,0,0,0,1.843880261,0,0,0,0
LOC105375985,1.976230138,0,0,3.02751501,0,1.990850365,1.007455672,0.92194013,6.567206656,0,1.01096973,0
SAXO1,1.976230138,0,4.037202674,0,4.085312184,6.967976278,0,0,0,2.028553057,2.02193946,1.021045465
RRAGA,3276.589569,3209.700696,3001.660188,3772.283703,3196.756784,2989.261823,4341.126492,3647.195156,3413.071116,3630.095696,3462.571325,3483.807128
HAUS6,1817.143612,1839.378587,1760.220366,1084.859545,1408.411376,1403.549507,1559.541381,1402.270938,1644.616181,2128.966434,1834.91006,1970.617748
SCARNA8,4.940575345,0.995873626,7.06510468,0,3.063984138,1.990850365,2.014911345,0.92194013,1.876344759,7.099935701,5.054848649,1.021045465
PLIN2,12595.50279,11684.58525,12051.04998,6646.404619,6133.074917,6673.330424,7669.760033,8653.330064,8174.295942,10261.43564,10815.35417,11360.15185
DENND4C,3674.799942,3577.178064,3343.813115,2990.175658,3408.17169,3412.317526,3221.84324,2691.143241,2750.721416,3434.340326,3265.432227,3193.830216
RPS6,31033.72997,33172.55048,29715.83028,40274.02301,38790.03919,35905.98176,26929.29012,29229.18989,30459.64264,34237.9185,32750.3644,34012.0455
ACER2,173.9082522,207.1417142,190.7578264,183.6692439,167.4977996,184.1536588,314.3261698,181.6222057,257.059232,101.4276529,102.1079427,113.3360467
MLLT3,814.2068169,714.0413898,765.0499068,1123.208069,1122.439523,1298.034438,484.5861784,641.6703307,756.1669378,887.4919626,877.5217255,953.6564647
