"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTPS1",3787.43490498577,-0.37270861219062,0.0648700000144733,-5.7454695869811,9.16662327986e-09,8.66934487215583e-08
"TENM4",931.565264691811,-0.548514146539487,0.0955752203809212,-5.73908325142593,9.51904207257176e-09,8.99652943706646e-08
"NDRG2",88.3086347916357,1.411187120033,0.246064506017705,5.73502917129977,9.74955643390657e-09,9.20813503791637e-08
"THBS3",752.642367095664,0.555690000188618,0.0969606840309095,5.7310858080526,9.97897657902092e-09,9.4184207711899e-08
"AURKA",4120.29730933229,-0.446307952350547,0.0779126718403055,-5.72831019407635,1.0143596134178e-08,9.5673023334701e-08
"SERPINH1",2383.06511312172,-0.445575765495567,0.0778091283221212,-5.72652303275951,1.02509850196424e-08,9.66203953883913e-08
"APOH",56.7237582439969,1.75490752931539,0.30672553677089,5.7214262229044,1.05633526886924e-08,9.94971987847591e-08
"NIPSNAP1",2432.75943109497,0.451012147208853,0.0788492212221249,5.71993153791988,1.06566983585801e-08,1.0030851662014e-07
"MST1",162.429802617684,1.08474668721046,0.189772978192458,5.71602288978344,1.09046055679179e-08,1.02551823670963e-07
"STRA6",44.8973191696579,-2.07187241910688,0.362472584675642,-5.71594240971602,1.09097684756344e-08,1.02551823670963e-07
"CFB",337.101757131939,0.939642095478642,0.164410939618283,5.71520421731203,1.09572355013215e-08,1.02928467450631e-07
"PCSK9",49.6941488049427,-1.76844892901603,0.30945310970505,-5.7147557208315,1.09861725368678e-08,1.03130656095077e-07
"SND1",21652.5204456517,-0.389587200624312,0.0681837481839375,-5.71378387080353,1.10491314475132e-08,1.03651730747002e-07
"LZTFL1",888.864419499238,0.69048666342848,0.120937154047753,5.70946677938061,1.13330674892063e-08,1.06243689292344e-07
"PTPRR",175.508954220304,-0.959306254427738,0.168044468679114,-5.70864522925513,1.13878983295819e-08,1.06685819233093e-07
"AGPAT3",2991.59247297393,0.387822721228215,0.0679412996670155,5.70820286230846,1.14175289012029e-08,1.06891428044101e-07
"LOC100288175",296.491687355067,-0.826450373175621,0.144863783120762,-5.70501719181716,1.16331346738588e-08,1.08836697769148e-07
"KMT2D",2715.54527685038,-0.437813480129492,0.0767671295419496,-5.70313730292921,1.17622160694508e-08,1.09970396477285e-07
"DHX58",309.222338848179,-0.740414674416778,0.129884295562616,-5.70057119846204,1.19406647684523e-08,1.11563820187178e-07
