"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDC25A",1077.38323941104,0.201274356362733,0.0771772795124504,2.60794831891247,0.0091086705514865,0.0303286182026345
"FMNL2",2431.26152190128,0.172263418481437,0.0661016035934961,2.60603993120654,0.00915957826092026,0.0304879248235615
"PPP1R14B",493.937125940799,-0.302077350966295,0.115916892069993,-2.60598214437887,0.0091611237226784,0.0304879248235615
"LOC101928464",126.757597757283,0.513783277614525,0.197187679961136,2.60555465592874,0.00917256378558298,0.0305183213504737
"TNF",15.8855540189626,-1.4330121253747,0.550007456113456,-2.6054412707436,0.00917560023710846,0.0305207497077474
"FASTKD3",635.867886039979,0.27221375605556,0.10448867364868,2.60519869331309,0.00918209946586914,0.0305346921669717
"PSTK",127.658523829766,0.493380633097218,0.189412704170154,2.60479166515675,0.00919301395417091,0.0305633066938667
"ARHGAP11A",2830.7231636119,-0.159087170091349,0.0610925722810912,-2.60403456838219,0.0092133463614112,0.030623210011101
"RIN1",1093.44207542564,-0.233786194903209,0.0897852161572677,-2.6038384147086,0.00921862075878845,0.0306330461778726
"OPHN1",160.159694342969,0.500745016939136,0.192338456300044,2.60345760578417,0.00922886806579807,0.0306593980031735
"MED17",1652.77749877303,0.20634324794374,0.0792702813182574,2.60303413224062,0.00924027538522589,0.0306895893316538
"GSDMD",1487.31194001532,-0.204070906990173,0.0784019856808287,-2.60287931763537,0.00924444884386988,0.0306957458223554
"AP3S1",2587.97692534945,-0.15893674881014,0.0610832358614976,-2.60197002612171,0.0092689953002211,0.0307625308583216
"WDYHV1",658.263680095165,-0.239162063526628,0.0919160472286035,-2.60196201574911,0.00926921179958648,0.0307625308583216
"ZKSCAN5",700.404522447708,0.223197255303576,0.0857951456132351,2.60151380020672,0.00928133308294703,0.0307950349432184
"PREX2",1206.80013905448,-0.192353032665523,0.0739448303780228,-2.6013046710929,0.00928699348816481,0.0308060912096758
"WDR3",2225.78170971323,-0.201938094726165,0.077632375015214,-2.60120980050643,0.00928956232386503,0.0308068893908226
"PIGT",12520.0568072902,0.148443726795842,0.0570699344560151,2.6010845852688,0.00929295378027696,0.0308104145378664
"MTF1",721.614116625505,0.237991071702887,0.0915079891341018,2.60076823843347,0.00930152696059983,0.0308311134124892
"KCNMB4",168.994601453021,-0.476490694677795,0.183291293741418,-2.59963626723053,0.00933226186305043,0.0309131683487786
"GIN1",237.88253408832,0.377563221420726,0.145238622879731,2.59960617867727,0.0093330800521509,0.0309131683487786
"FAM73B",1150.89038345932,0.20657669347362,0.0794648481056713,2.59959841864817,0.00933329107870093,0.0309131683487786
"NPC2",5821.26178687244,-0.160524412061537,0.0617563546901724,-2.59931812469951,0.00934091625834636,0.030930681664274
"SEPT6",648.436430142182,-0.267936020528809,0.103093701905875,-2.59895624636156,0.00935076909793234,0.0309555608465951
"ARL17A",143.907365860103,0.485134890192666,0.186722881811419,2.5981544708732,0.00937263202675118,0.0310185994956781
"GPC6",716.922955607611,-0.245849965712655,0.0946287388864079,-2.59804757630525,0.00937555028570016,0.0310185994956781
"RGPD3",187.513453681531,0.398187297611403,0.153266846247528,2.59800020265521,0.00937684386205506,0.0310185994956781
"EPC1",1257.34771034342,0.193265628676213,0.0744185451026032,2.59700896342103,0.00940394700684933,0.031100481578263
"TRNS2",167.303148040201,0.487123691070739,0.187593373677059,2.59669988082478,0.00941241243648221,0.0311206999898882
"KIAA1191",8395.72408643177,-0.125509090726099,0.0483416937388545,-2.59629071757619,0.00942362941966333,0.0311500036175331
"SEC61A1",20702.9087822876,0.125686460071304,0.0484185220259313,2.59583429671791,0.00943615601167173,0.031183620466144
"TRIM2",242.200387956187,0.39311612268849,0.151480844904613,2.59515401393513,0.00945485412021949,0.0312376104166652
"ADAM9",22812.3892641357,-0.13872916628481,0.0534708492623144,-2.59448219354512,0.00947335205860858,0.0312909122415149
"SPEN",3551.79884738996,-0.185310757478226,0.0714302456500137,-2.59428979687669,0.00947865546077265,0.0313006161859106
"BAHD1",2097.43516324719,0.162949848572383,0.062814187538798,2.59415674956768,0.00948232445006763,0.0313049194419398
"ZNF316",521.337487888723,0.335995708459835,0.129528539702689,2.59398978195119,0.00948693063743878,0.0313123138425019
"HINT3",413.705079538585,-0.291410682802371,0.112391571244319,-2.59281616562596,0.00951936390332127,0.0314115269747499
"ANKRD44",497.330958008914,0.276197015823065,0.106531854823602,2.5926237394477,0.00952469108786647,0.0314212696271875
"ISPD",111.09668930092,0.501433249113452,0.193437456816512,2.59222416054144,0.00953576164391196,0.0314499496690536
"AGR2",70.8777710872952,0.667850778182677,0.257654796464206,2.59203704859209,0.00954094962809379,0.0314592189082824
"BCL9L",4563.68569478306,-0.149147554137326,0.0575504319887143,-2.59159747343988,0.00955314746988144,0.0314903568461028
"NPIPA1",623.736260922877,-0.249298243044274,0.0961974971280477,-2.59152525260024,0.00955515286707246,0.0314903568461028
"PAPOLA",4978.21745534481,-0.150205794883941,0.0579866778536779,-2.59035006735454,0.00958783769744282,0.0315902062780287
"METTL25",167.489871998397,0.436944007090913,0.168714963139298,2.58983553657985,0.00960217943099555,0.0316295838264708
"GPR75-ASB3",793.027589980847,0.213061871817882,0.0823330960747802,2.58780347121121,0.00965900716005751,0.0318088558342163
"LRIF1",523.194113334846,0.260245814981771,0.100621158241792,2.5863925592707,0.00969864017929529,0.031931427432803
"ABHD17C",239.703749829441,-0.361680765025646,0.139846709143415,-2.58626582806992,0.00970220718896171,0.0319352252548113
