id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC105369349	0.589622804453503	-0.113898760470598	1.51594173715815	-0.075133996036099	0.940108099333225	1
LOC105369350	0.036832877509547	-0.953893221614536	3.10671589701821	-0.307042308738327	0.758811168844337	1
LOC105369354	5.68965681376348	0.244099172837124	0.548709003968315	0.444860884497568	0.656420291710233	1
LOC105369355	1.17121480157179	-1.09892760468003	1.1888922571353	-0.924329011384056	0.355315042420183	1
LOC105369358	0.108305812947864	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369360	0.0295391590042962	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369361	1.47174403071747	-0.118732773824041	0.890785065533938	-0.133290036416217	0.893964007078998	1
LOC105369362	0.295257265663588	-1.57636183708877	2.57549323721581	-0.612062114670069	0.540496662013331	1
LOC105369363	0.976175230523014	-0.411489727928847	1.06760274070367	-0.385433375393574	0.699916359067629	1
LOC105369364	0.58910649937067	-0.068837652917144	1.42681116143143	-0.0482458048955012	0.961520345639701	1
LOC105369366	0.25653517122121	-1.87329705841616	3.10671589701821	-0.602983060090601	0.546519958504489	1
LOC105369367	1.1318618101033	0.0936818631815963	1.365877925411	0.0685872883943174	0.945318137430042	1
LOC105369368	0.205018948403187	-0.344570078120509	2.43141729669689	-0.1417157304049	0.887304549283242	1
LOC105369371	0.0432360651651049	-0.644911851554385	3.10473999467078	-0.207718473257458	0.835448792701046	1
LOC105369372	1.02026682099073	1.70878659208841	1.49652987550936	1.14183259556165	0.253523610657935	1
LOC105369373	2.18872859332593	-0.300630755112951	0.801208820593839	-0.375221474584029	0.70749576059119	1
LOC105369377	0.0866672396830116	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369378	0.129923845530416	-1.26687946575135	3.10671589701821	-0.40778735737223	0.683429796155678	1
LOC105369380	4.43791308719178	-0.513143319961903	0.482752064251476	-1.06295417039293	0.287802735241059	1
LOC105369381	0.190491851681377	-0.795157153096372	3.10466766109836	-0.256116673310877	0.797860747823439	1
LOC105369382	0.556820293581031	-1.01095424650823	1.61472833156791	-0.62608317866485	0.531260384902134	1
LOC105369383	7.93306906271355	-0.20684621052117	0.516414791787072	-0.400542768740939	0.688756789151726	1
LOC105369386	0.127002640779305	-1.87329705841616	3.10671589701821	-0.602983060090601	0.546519958504489	1
LOC105369388	0.457950675255425	-0.604824935170442	1.99192164197507	-0.30363891953638	0.761402997117426	1
LOC105369389	0.28979698990687	-2.49654844450173	2.53840873000956	-0.983509241434232	0.325356869224011	1
LOC105369391	0.663149752743076	0.462051818318106	1.3499436510589	0.342274892700648	0.732144028486641	1
LOC105369392	0.115004255865976	-1.21797694852273	3.10671589701821	-0.392046453198934	0.695023890898655	1
LOC105369393	0.0589657127841621	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369395	0.220785441074948	-0.795157153096372	3.10466766109836	-0.256116673310877	0.797860747823439	1
LOC105369397	0.469806450556001	-0.458187821584406	2.01150358978099	-0.227783745409221	0.819814363826728	1
LOC105369402	1.27007289911124	-0.333306428272541	0.97903689039747	-0.340443175881989	0.733522808704279	1
LOC105369403	6.26262936764272	0.997199022795057	0.517297946864546	1.92770728907643	0.0538915449467786	1
LOC105369405	0.0680369279951433	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369406	0.470579992007458	0.683870331210361	1.81048839540058	0.377726989550271	0.705633415886224	1
LOC105369413	0.83538291491608	-1.65526091725001	1.38062240054377	-1.19892370035288	0.230557615182823	1
LOC105369416	0.0931908707589125	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369420	0.453947515898323	-1.00663254676091	2.00736395783981	-0.501469871883214	0.616040476204248	1
LOC105369421	0.457941951892295	-2.11944966001841	2.2940810273536	-0.92387741964954	0.355550140737706	1
LOC105369422	1.00433250983731	-1.66217826076571	1.57402400702484	-1.05600566023609	0.290965628885898	1
LOC105369427	0.108305812947864	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369428	0.128267585610605	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369431	0.643357093222902	-1.2446209366584	1.38040453174211	-0.901634925153176	0.367250831947513	1
LOC105369435	1.28686027527591	-0.219890934812714	1.38396265341341	-0.158885020683451	0.873759462536783	1
LOC105369436	0.999861764111964	-0.467896142997858	1.08974001878111	-0.429364926435577	0.667657674028566	1
LOC105369440	0.511006280699837	-0.261811276245541	1.4519997420341	-0.180310828346822	0.856908555204398	1
LOC105369454	0.0519796722063324	-0.953893221614536	3.10671589701821	-0.307042308738327	0.758811168844337	1
LOC105369455	0.126064023376207	-1.87329705841616	3.10671589701821	-0.602983060090601	0.546519958504489	1
